Name,WG,AC,ON,OF,MT,SL,SW,SA,SG,TL,TW,TA,TG
Cat Cruiser,2,5,4,3,6,2,2,3,4,4,2,3,4
Badwagon,4,0,2,5,1,5,2,3,1,0,1,1,0
Wild Wiggler,1,5,3,5,5,2,2,4,3,4,3,4,3
Splat Buggy,0,3,1,3,4,4,2,4,3,2,3,5,1
Inkstriker,3,3,2,4,5,3,3,5,4,2,2,4,2
Biddybuggy,0,7,1,4,7,0,1,2,1,5,4,5,4
Prancer,1,2,1,2,4,4,3,3,3,3,3,2,3
Streetle,0,6,0,6,6,1,5,0,2,4,5,2,3
Standard Kart,2,4,3,3,5,3,3,3,3,3,2,3,3
P-Wing,3,1,3,1,2,5,1,4,2,1,1,2,0
Master Cycle,2,2,1,0,4,4,2,3,3,3,2,3,2
Bone Rattler,4,1,1,3,3,4,5,2,0,1,5,1,1
Koopa Clown,3,2,4,7,4,2,4,3,3,4,4,3,3
Varmint,1,6,3,4,6,1,3,1,1,5,4,4,2
